node_i,node_j,relation
2,19,C
2,727,C
4,209,E
5,742,C
6,19,B
6,279,C
6,445,C
6,717,E
6,770,C
6,832,E
6,913,E
6,917,C
6,956,E
7,430,C
11,54,C
11,88,C
11,124,E
11,240,C
11,293,E
11,390,C
11,462,C
11,779,E
12,19,E
12,59,E
12,60,C
12,307,C
12,346,E
12,421,C
12,760,E
12,890,E
12,910,C
13,593,E
14,595,E
14,752,E
14,953,C
15,509,E
16,19,E
16,88,C
16,804,C
16,950,E
19,19,B
19,34,C
19,39,E
19,54,C
19,60,E
19,64,E
19,102,C
19,120,C
19,138,E
19,142,C
19,144,E
19,154,C
19,195,C
19,197,E
19,205,C
19,221,E
19,225,E
19,325,E
19,338,E
19,361,E
19,371,C
19,376,E
19,390,C
19,455,E
19,494,E
19,534,E
19,621,C
19,638,E
19,642,E
19,657,C
19,679,E
19,694,C
19,698,C
19,719,E
19,732,E
19,736,C
19,744,C
19,754,E
19,795,C
19,816,C
19,837,C
19,839,C
19,902,E
19,931,C
19,938,E
19,954,C
20,65,E
20,752,E
20,816,C
20,818,C
22,52,E
22,461,C
22,867,E
23,111,E
23,458,E
23,740,E
24,52,E
26,390,E
29,32,E
29,412,C
29,456,C
29,616,C
30,481,E
32,593,E
32,806,C
32,873,E
32,896,E
33,612,E
33,702,E
35,748,E
35,764,C
36,96,E
36,760,E
37,277,E
37,514,C
38,390,E
38,780,C
38,957,C
39,171,C
40,778,E
43,177,C
43,702,E
47,133,E
49,634,E
49,754,E
51,483,C
51,770,E
52,161,C
52,770,E
52,897,E
54,83,C
54,615,C
54,748,E
54,837,E
54,875,C
55,258,E
55,292,C
55,826,C
57,361,E
57,588,C
59,560,E
60,255,C
60,412,C
60,760,E
61,288,C
62,355,C
62,560,E
62,804,C
62,870,E
62,894,C
62,904,E
63,378,E
64,752,E
65,320,E
65,630,E
65,905,E
66,752,E
69,390,E
69,829,C
70,222,E
72,474,E
72,752,E
74,409,E
76,139,C
76,826,C
81,530,E
83,826,C
88,390,E
88,605,C
88,650,E
88,797,C
88,905,E
88,920,C
88,950,E
88,954,E
89,168,C
93,905,C
96,568,C
98,431,C
98,841,C
102,248,E
102,285,E
102,351,E
102,610,E
102,732,E
106,109,C
106,242,C
106,247,E
106,248,E
106,770,C
111,565,C
111,696,E
113,442,E
114,861,E
117,956,C
118,199,C
118,436,E
118,445,C
118,524,E
118,679,E
120,385,E
122,618,C
123,135,C
123,884,E
124,137,C
