Cluster A,Cluster B,Relation
(2) topic : a person buy something for another person,(149) topic : a person be excited,C
(2) topic : a person buy something for another person,(432) topic : a person suprise another person,C
(4) topic : a person buy something another person want,(205) topic : a person offer another person something,C
(5) topic : a person buy a different thing,(358) topic : a person have to give something to another person,E
(6) topic : a person see another person,(635) topic : a person take a vehicle to another person 's location,C
(6) topic : a person see another person,(1076) topic : a person sit near to another person,E
(6) topic : a person see another person,(336) topic : a person drive to another person 's place,C
(6) topic : a person see another person,(479) topic : a person drive with someone,C
(6) topic : a person see another person,(998) topic : a person see another person do something,C
(9) topic : a person and another person see something,(284) topic : a person and another person walk to a place,E
(10) topic : a person get lost,(951) topic : a person stop to help,C
(10) topic : a person get lost,(51) topic : a person take a trip,E
(10) topic : a person get lost,(442) topic : a person travel to a place,E
(10) topic : a person get lost,(324) topic : a person go to an event,E
(10) topic : a person get lost,(493) topic : a person try to find something,E
(10) topic : a person get lost,(85) topic : a person drive to a place,E
(10) topic : a person get lost,(652) topic : a person go to a place that be new,E
(11) topic : a person lose something,(347) topic : a person can not find something / someone,C
(11) topic : a person lose something,(323) topic : a person get a new something,C
(11) topic : a person lose something,(933) topic : a person miss something,C
(11) topic : a person lose something,(1054) topic : a person buy something new,C
(11) topic : a person lose something,(57) topic : a person throw something to another thing,E
(12) topic : a person play a game with another person,(241) topic : a person and another bet on something,C
(12) topic : a person play a game with another person,(386) topic : a person go to another person 's house,C
(12) topic : a person play a game with another person,(776) topic : a person win,C
(13) topic : a person and another person play a sport,(1111) topic : a person like / love to play sport,E
(13) topic : a person and another person play a sport,(778) topic : a person usually win,C
(13) topic : a person and another person play a sport,(926) topic : a person have a great time with another person,C
(14) topic : a person do a performance,(696) topic : a person go to watch,E
(14) topic : a person do a performance,(234) topic : a person get nervous,C
(15) topic : a person speed,(1108) topic : the cop pull a person over,C
(18) topic : a person ask another person to visit a place,(62) topic : a person go somewhere with another person,C
(18) topic : a person ask another person to visit a place,(986) topic : a person date another person,C
(18) topic : a person ask another person to visit a place,(984) topic : a person like another person,B
(18) topic : a person ask another person to visit a place,(926) topic : a person have a great time with another person,C
